id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
243,U-243,VIIC,04/10/41,10/28/1942,10/02/43,09/02/43,07/08/44,Sunk,38,47.06,-6.4,11,"F. Krupp Germaniawerft AG, Kiel",0
244,U-244,VIIC,04/10/41,10/24/1942,10/09/43,09/02/43,5/14/1945,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
245,U-245,VIIC,04/10/41,11/18/1942,12/18/1943,11/25/1943,05/09/45,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",3
246,U-246,VIIC,04/10/41,11/30/1942,01/11/44,12/07/43,3/17/1945,Sunk,0,53.4,-4.53,48,"F. Krupp Germaniawerft AG, Kiel",0
247,U-247,VIIC,06/05/41,12/16/1942,10/23/1943,9/23/1943,09/01/44,Sunk,0,49.54,-5.49,52,"F. Krupp Germaniawerft AG, Kiel",1
248,U-248,VIIC,06/05/41,12/19/1942,11/06/43,10/07/43,1/16/1945,Sunk,0,47.43,-26.37,47,"F. Krupp Germaniawerft AG, Kiel",0
249,U-249,VIIC,06/05/41,1/23/1943,11/20/1943,10/23/1943,05/10/45,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
250,U-250,VIIC,06/05/41,01/09/43,12/12/43,11/11/43,7/30/1944,Sunk,6,60.27,28.24,46,"F. Krupp Germaniawerft AG, Kiel",1
251,U-251,VIIC,9/23/1939,10/18/1940,9/20/1941,7/26/1941,4/19/1945,Sunk,4,56.37,11.51,39,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
252,U-252,VIIC,9/23/1939,11/01/40,10/04/41,8/14/1941,4/14/1942,Sunk,0,47,-18.14,44,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
253,U-253,VIIC,9/23/1939,11/15/1940,10/21/1941,8/30/1941,9/25/1942,Sunk,0,67,-23,45,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
254,U-254,VIIC,9/23/1939,12/14/1940,11/08/41,9/20/1941,12/08/42,Sunk,4,58.45,-33.02,41,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",3
255,U-255,VIIC,9/23/1939,12/21/1940,11/29/1941,10/08/41,5/17/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",10
256,U-256,VIIC,12/23/1939,2/15/1941,12/18/1941,10/28/1941,11/30/1942,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
257,U-257,VIIC,12/23/1939,2/22/1941,1/14/1942,11/19/1941,2/24/1944,Sunk,19,47.19,-26,30,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
258,U-258,VIIC,12/23/1939,3/20/1941,02/04/42,12/13/1941,5/20/1943,Sunk,0,55.18,-27.49,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
259,U-259,VIIC,12/23/1939,3/25/1941,2/18/1942,12/30/1941,11/15/1942,Sunk,0,37.2,3.05,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
260,U-260,VIIC,12/23/1939,05/07/41,3/14/1942,02/09/42,03/12/45,Scuttled,48,51.29,-9.06,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
261,U-261,VIIC,12/23/1939,5/17/1941,3/28/1942,2/16/1942,9/15/1942,Sunk,0,59.5,-9.28,43,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
262,U-262,VIIC,8/15/1940,5/29/1941,4/15/1942,03/10/42,12/19/1944,Damaged,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",3
263,U-263,VIIC,8/15/1940,06/08/41,05/06/42,3/18/1942,1/20/1944,Sunk,0,45.4,-3,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
264,U-264,VIIC,8/15/1940,6/21/1941,5/22/1942,04/02/42,2/19/1944,Sunk,52,48.31,-22.05,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",3
265,U-265,VIIC,8/15/1940,07/03/41,06/06/42,4/23/1942,02/03/43,Sunk,0,56.35,-22.49,46,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
266,U-266,VIIC,8/15/1940,08/01/41,6/24/1942,05/11/42,5/15/1943,Sunk,0,45.28,-10.2,47,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",4
267,U-267,VIIC,8/15/1940,08/09/41,07/11/42,5/23/1942,07/06/44,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
268,U-268,VIIC,1/20/1941,09/04/41,7/29/1942,06/09/42,2/19/1943,Sunk,0,47.03,-5.56,44,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
269,U-269,VIIC,1/20/1941,9/18/1941,8/19/1942,6/24/1942,6/25/1944,Sunk,39,49.56,-2.46,13,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
270,U-270,VIIC,1/20/1941,10/15/1941,09/05/42,07/11/42,6/25/1944,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
271,U-271,VIIC,1/20/1941,10/21/1941,9/23/1942,7/29/1942,1/28/1944,Sunk,0,53.15,-15.52,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
272,U-272,VIIC,1/20/1941,11/28/1941,10/07/42,8/15/1942,11/12/42,Sunk,19,54.45,18.5,29,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
273,U-273,VIIC,1/20/1941,12/05/41,10/21/1942,09/02/42,5/19/1943,Sunk,0,59.25,-24.33,46,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
274,U-274,VIIC,04/10/41,01/09/42,11/07/42,9/19/1942,10/23/1943,Sunk,0,57.14,-27.5,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
